check,contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,put_volume,call_volume,close_of_future,euro_short_term_rate
1,TFO,2026-05-13,2026-07,30.0,E,M,2026-06-26,0.12,0,1650,0,46.57013078116188,1.928
1,TFO,2026-05-13,2026-07,33.0,E,M,2026-06-26,0.27,0,100,0,46.57013078116188,1.928
1,TFO,2026-05-13,2026-07,34.0,E,M,2026-06-26,0.34,0,200,0,46.57013078116188,1.928
1,TFO,2026-05-13,2026-07,35.0,E,M,2026-06-26,0.51,0,3850,0,46.57013078116188,1.928
1,TFO,2026-05-13,2026-07,36.0,E,M,2026-06-26,0.645,0,400,0,46.57013078116188,1.928
1,TFO,2026-05-13,2026-07,37.0,E,M,2026-06-26,0.83,0,100,0,46.57013078116188,1.928
1,TFO,2026-05-13,2026-07,39.0,E,M,2026-06-26,1.4,0,100,0,46.57013078116188,1.928
2,TFO,2026-05-13,2026-07,40.0,E,M,2026-06-26,1.7466037735849058,0,2650,0,46.57013078116188,1.928
1,TFO,2026-05-13,2026-07,41.0,E,M,2026-06-26,2.145,0,200,0,46.57013078116188,1.928
1,TFO,2026-05-13,2026-07,42.0,E,M,2026-06-26,2.58,0,2625,0,46.57013078116188,1.928
1,TFO,2026-05-13,2026-07,45.0,E,M,2026-06-26,4.23,0,1080,0,46.57013078116188,1.928
1,TFO,2026-05-13,2026-07,50.0,E,M,2026-06-26,0,4.145,0,750,46.57013078116188,1.928
2,TFO,2026-05-13,2026-07,55.0,E,M,2026-06-26,0,3.071875,0,160,46.57013078116188,1.928
1,TFO,2026-05-13,2026-07,60.0,E,M,2026-06-26,0,2.43,0,2150,46.57013078116188,1.928
1,TFO,2026-05-13,2026-07,75.0,E,M,2026-06-26,0,1.18,0,800,46.57013078116188,1.928
1,TFO,2026-05-13,2026-08,35.0,E,M,2026-07-27,0.96,0,3150,0,46.47273586192783,1.928
1,TFO,2026-05-13,2026-08,45.0,E,M,2026-07-27,5.6,0,780,0,46.47273586192783,1.928
1,TFO,2026-05-13,2026-08,125.0,E,M,2026-07-27,0,0.62,0,25,46.47273586192783,1.928
1,TFO,2026-05-13,2026-09,33.0,E,M,2026-08-26,0.8550000000000001,0,10,0,46.49518777168104,1.928
1,TFO,2026-05-13,2026-09,35.0,E,M,2026-08-26,1.36,0,3500,0,46.49518777168104,1.928
1,TFO,2026-05-13,2026-09,40.0,E,M,2026-08-26,3.4,0,2250,0,46.49518777168104,1.928
1,TFO,2026-05-13,2026-09,46.0,E,M,2026-08-26,7.05,0,100,0,46.49518777168104,1.928
1,TFO,2026-05-13,2027-02,35.0,E,M,2027-01-27,4.15,0,320,0,45.05628735232801,1.928
1,TFO,2026-05-13,2027-02,75.0,E,M,2027-01-27,0,5.6,0,170,45.05628735232801,1.928
2,TFO,2026-05-14,2026-06,35.0,E,M,2026-05-27,0.1472972972972973,0,925,0,47.89951897309466,1.93
1,TFO,2026-05-14,2026-06,37.0,E,M,2026-05-27,0.13,0,1000,0,47.89951897309466,1.93
2,TFO,2026-05-14,2026-06,38.0,E,M,2026-05-27,0.2525,0,200,0,47.89951897309466,1.93
2,TFO,2026-05-14,2026-06,40.0,E,M,2026-05-27,0.35,0,2325,0,47.89951897309466,1.93
1,TFO,2026-05-14,2026-06,41.0,E,M,2026-05-27,0.485,0,300,0,47.89951897309466,1.93
2,TFO,2026-05-14,2026-06,42.0,E,M,2026-05-27,0.905,0,90,0,47.89951897309466,1.93
1,TFO,2026-05-14,2026-06,43.0,E,M,2026-05-27,0.85,0,350,0,47.89951897309466,1.93
2,TFO,2026-05-14,2026-06,44.0,E,M,2026-05-27,1.1,4.55,290,2000,47.89951897309466,1.93
2,TFO,2026-05-14,2026-06,45.0,E,M,2026-05-27,1.5240683229813665,0,1610,0,47.89951897309466,1.93
2,TFO,2026-05-14,2026-06,46.0,E,M,2026-05-27,2.198101265822785,0,395,0,47.89951897309466,1.93
4,TFO,2026-05-14,2026-06,47.0,E,M,2026-05-27,2.851153846153846,3.000251677852349,780,2980,47.89951897309466,1.93
4,TFO,2026-05-14,2026-06,48.0,E,M,2026-05-27,3.053,2.6485714285714286,250,350,47.89951897309466,1.93
2,TFO,2026-05-14,2026-06,49.0,E,M,2026-05-27,0,2.248395061728395,0,4050,47.89951897309466,1.93
2,TFO,2026-05-14,2026-06,50.0,E,M,2026-05-27,0,2.0469565217391303,0,575,47.89951897309466,1.93
1,TFO,2026-05-14,2026-06,51.0,E,M,2026-05-27,0,1.85,0,25,47.89951897309466,1.93
1,TFO,2026-05-14,2026-06,52.0,E,M,2026-05-27,0,1.5,0,5750,47.89951897309466,1.93
1,TFO,2026-05-14,2026-06,54.0,E,M,2026-05-27,0,1.21,0,25,47.89951897309466,1.93
2,TFO,2026-05-14,2026-06,55.0,E,M,2026-05-27,0,1.0158490566037737,0,1325,47.89951897309466,1.93
1,TFO,2026-05-14,2026-06,57.0,E,M,2026-05-27,0,0.9,0,1000,47.89951897309466,1.93
1,TFO,2026-05-14,2026-06,60.0,E,M,2026-05-27,0,0.6,0,900,47.89951897309466,1.93
1,TFO,2026-05-14,2026-06,62.0,E,M,2026-05-27,0,0.435,0,100,47.89951897309466,1.93
1,TFO,2026-05-14,2026-06,65.0,E,M,2026-05-27,0,0.35,0,125,47.89951897309466,1.93
2,TFO,2026-05-14,2026-06,70.0,E,M,2026-05-27,0,0.2563855421686747,0,830,47.89951897309466,1.93
1,TFO,2026-05-14,2026-06,75.0,E,M,2026-05-27,0,0.215,0,100,47.89951897309466,1.93
1,TFO,2026-05-14,2026-06,85.0,E,M,2026-05-27,0,0.115,0,100,47.89951897309466,1.93
1,TFO,2026-05-14,2026-06,95.0,E,M,2026-05-27,0,0.065,0,100,47.89951897309466,1.93
1,TFO,2026-05-14,2026-07,36.0,E,M,2026-06-26,0.62,0,900,0,47.90476581488538,1.93
1,TFO,2026-05-14,2026-07,37.0,E,M,2026-06-26,0.66,0,900,0,47.90476581488538,1.93
1,TFO,2026-05-14,2026-07,39.0,E,M,2026-06-26,1.32,0,450,0,47.90476581488538,1.93
1,TFO,2026-05-14,2026-07,40.0,E,M,2026-06-26,1.5,0,2400,0,47.90476581488538,1.93
1,TFO,2026-05-14,2026-07,44.0,E,M,2026-06-26,3.325,0,2000,0,47.90476581488538,1.93
1,TFO,2026-05-14,2026-07,50.0,E,M,2026-06-26,0,4.3,0,3700,47.90476581488538,1.93
1,TFO,2026-05-14,2026-07,52.0,E,M,2026-06-26,0,3.825,0,100,47.90476581488538,1.93
1,TFO,2026-05-14,2026-07,54.0,E,M,2026-06-26,0,3.4,0,2000,47.90476581488538,1.93
1,TFO,2026-05-14,2026-07,55.0,E,M,2026-06-26,0,3.35,0,100,47.90476581488538,1.93
1,TFO,2026-05-14,2026-07,60.0,E,M,2026-06-26,0,2.3,0,2325,47.90476581488538,1.93
1,TFO,2026-05-14,2026-07,65.0,E,M,2026-06-26,0,1.87,0,650,47.90476581488538,1.93
1,TFO,2026-05-14,2026-07,70.0,E,M,2026-06-26,0,1.43,0,1025,47.90476581488538,1.93
1,TFO,2026-05-14,2026-07,75.0,E,M,2026-06-26,0,1.04,0,850,47.90476581488538,1.93
1,TFO,2026-05-14,2026-08,35.0,E,M,2026-07-27,0.915,0,575,0,47.73422328232055,1.93
