check,contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,close
1,TFO,2026-05-08,2026-12,35.0,E,M,2026-11-26,,0,86.515
1,TFO,2026-05-08,2026-12,45.0,E,M,2026-11-26,0,,86.515
1,TFO,2026-05-08,2026-12,60.0,E,M,2026-11-26,0,,86.515
1,TFO,2026-05-08,2026-12,80.0,E,M,2026-11-26,0,,86.515
1,TFO,2026-05-08,2026-12,100.0,E,M,2026-11-26,0,,86.515
1,TFO,2026-05-08,2027-01,25.0,E,M,2026-12-24,,0,85.795
1,TFO,2026-05-08,2027-01,35.0,E,M,2026-12-24,,0,85.795
1,TFO,2026-05-08,2027-01,60.0,E,M,2026-12-24,0,,85.795
1,TFO,2026-05-08,2027-01,90.0,E,M,2026-12-24,0,,85.795
2,TFO,2026-05-08,2027-02,25.0,E,M,2027-01-27,0.85,0,85.205
2,TFO,2026-05-08,2027-02,35.0,E,M,2027-01-27,4.325,0,85.205
1,TFO,2026-05-08,2027-02,55.0,E,M,2027-01-27,0,7.31,85.205
1,TFO,2026-05-08,2027-02,65.0,E,M,2027-01-27,0,6.015,85.205
1,TFO,2026-05-08,2027-02,80.0,E,M,2027-01-27,0,,85.205
1,TFO,2026-05-08,2027-03,25.0,E,M,2027-02-24,,0,41.32
1,TFO,2026-05-08,2027-03,30.0,E,M,2027-02-24,,0,41.32
1,TFO,2026-05-08,2027-03,35.0,E,M,2027-02-24,,0,41.32
1,TFO,2026-05-08,2027-03,45.0,E,M,2027-02-24,0,,41.32
1,TFO,2026-05-08,2027-03,60.0,E,M,2027-02-24,0,,41.32
1,TFO,2026-05-08,2027-03,90.0,E,M,2027-02-24,0,,41.32
1,TFO,2026-05-08,2027-03,100.0,E,M,2027-02-24,0,,41.32
1,TFO,2026-05-11,2026-06,33.0,E,M,2026-05-27,0.06,0,93.32
2,TFO,2026-05-11,2026-06,35.0,E,M,2026-05-27,0.255,0,93.32
1,TFO,2026-05-11,2026-06,38.0,E,M,2026-05-27,,0,93.32
1,TFO,2026-05-11,2026-06,39.0,E,M,2026-05-27,0.575,0,93.32
3,TFO,2026-05-11,2026-06,40.0,E,M,2026-05-27,1.4249999999999998,6.85,93.32
2,TFO,2026-05-11,2026-06,41.0,E,M,2026-05-27,2.1500000000000004,0,93.32
1,TFO,2026-05-11,2026-06,42.0,E,M,2026-05-27,1.48,0,93.32
2,TFO,2026-05-11,2026-06,44.0,E,M,2026-05-27,4.225,0,93.32
1,TFO,2026-05-11,2026-06,45.0,E,M,2026-05-27,0,3.31,93.32
1,TFO,2026-05-11,2026-06,46.0,E,M,2026-05-27,0,3.41,93.32
2,TFO,2026-05-11,2026-06,47.0,E,M,2026-05-27,3.79,2.98,93.32
2,TFO,2026-05-11,2026-06,48.0,E,M,2026-05-27,0,2.25,93.32
1,TFO,2026-05-11,2026-06,50.0,E,M,2026-05-27,0,2.18,93.32
2,TFO,2026-05-11,2026-06,51.0,E,M,2026-05-27,0,1.455,93.32
1,TFO,2026-05-11,2026-06,55.0,E,M,2026-05-27,0,1.25,93.32
1,TFO,2026-05-11,2026-06,57.0,E,M,2026-05-27,0,0.79,93.32
2,TFO,2026-05-11,2026-06,60.0,E,M,2026-05-27,0,1.535,93.32
2,TFO,2026-05-11,2026-06,65.0,E,M,2026-05-27,0,1.08,93.32
1,TFO,2026-05-11,2026-06,75.0,E,M,2026-05-27,0,0.275,93.32
1,TFO,2026-05-11,2026-06,80.0,E,M,2026-05-27,0,0.15,93.32
1,TFO,2026-05-11,2026-07,30.0,E,M,2026-06-26,0.135,0,93.145
1,TFO,2026-05-11,2026-07,31.5,E,M,2026-06-26,0.18,0,93.145
1,TFO,2026-05-11,2026-07,33.0,E,M,2026-06-26,0.275,0,93.145
1,TFO,2026-05-11,2026-07,34.0,E,M,2026-06-26,0,,93.145
1,TFO,2026-05-11,2026-07,35.0,E,M,2026-06-26,0.775,0,93.145
1,TFO,2026-05-11,2026-07,35.5,E,M,2026-06-26,0.55,0,93.145
1,TFO,2026-05-11,2026-07,37.0,E,M,2026-06-26,0.84,0,93.145
1,TFO,2026-05-11,2026-07,38.0,E,M,2026-06-26,1.3,0,93.145
1,TFO,2026-05-11,2026-07,39.0,E,M,2026-06-26,1.4,0,93.145
2,TFO,2026-05-11,2026-07,40.0,E,M,2026-06-26,4.07,0,93.145
1,TFO,2026-05-11,2026-07,41.0,E,M,2026-06-26,2.43,0,93.145
1,TFO,2026-05-11,2026-07,42.0,E,M,2026-06-26,2.67,0,93.145
1,TFO,2026-05-11,2026-07,43.0,E,M,2026-06-26,3.185,0,93.145
2,TFO,2026-05-11,2026-07,45.0,E,M,2026-06-26,4.4,5.0,93.145
1,TFO,2026-05-11,2026-07,47.0,E,M,2026-06-26,5.72,0,93.145
1,TFO,2026-05-11,2026-07,49.0,E,M,2026-06-26,0,4.62,93.145
1,TFO,2026-05-11,2026-07,50.0,E,M,2026-06-26,0,4.305,93.145
1,TFO,2026-05-11,2026-07,51.0,E,M,2026-06-26,0,4.09,93.145
1,TFO,2026-05-11,2026-07,52.0,E,M,2026-06-26,0,3.375,93.145
1,TFO,2026-05-11,2026-07,53.0,E,M,2026-06-26,0,3.61,93.145
1,TFO,2026-05-11,2026-07,55.0,E,M,2026-06-26,0,2.7,93.145
1,TFO,2026-05-11,2026-07,56.0,E,M,2026-06-26,0,3.1,93.145
1,TFO,2026-05-11,2026-07,60.0,E,M,2026-06-26,0,2.49,93.145
1,TFO,2026-05-11,2026-07,65.0,E,M,2026-06-26,0,1.46,93.145
1,TFO,2026-05-11,2026-07,70.0,E,M,2026-06-26,0,1.325,93.145
1,TFO,2026-05-11,2026-07,75.0,E,M,2026-06-26,0,0.9,93.145
1,TFO,2026-05-11,2026-07,80.0,E,M,2026-06-26,0,,93.145
1,TFO,2026-05-11,2026-08,30.0,E,M,2026-07-27,0.25,0,93.1
1,TFO,2026-05-11,2026-08,32.0,E,M,2026-07-27,0.51,0,93.1
1,TFO,2026-05-11,2026-08,34.0,E,M,2026-07-27,0,,93.1
1,TFO,2026-05-11,2026-08,35.0,E,M,2026-07-27,1.01,0,93.1
1,TFO,2026-05-11,2026-08,40.0,E,M,2026-07-27,2.91,0,93.1
2,TFO,2026-05-11,2026-08,45.0,E,M,2026-07-27,5.925,6.525,93.1
1,TFO,2026-05-11,2026-08,55.0,E,M,2026-07-27,0,,93.1
1,TFO,2026-05-11,2026-08,70.0,E,M,2026-07-27,0,,93.1
1,TFO,2026-05-11,2026-08,80.0,E,M,2026-07-27,0,,93.1
1,TFO,2026-05-11,2026-09,25.0,E,M,2026-08-26,0.14,0,92.77000000000001
1,TFO,2026-05-11,2026-09,28.0,E,M,2026-08-26,0.28,0,92.77000000000001
1,TFO,2026-05-11,2026-09,33.0,E,M,2026-08-26,0.915,0,92.77000000000001
1,TFO,2026-05-11,2026-09,35.0,E,M,2026-08-26,,0,92.77000000000001
1,TFO,2026-05-11,2026-09,40.0,E,M,2026-08-26,,0,92.77000000000001
1,TFO,2026-05-11,2026-09,45.0,E,M,2026-08-26,0,7.04,92.77000000000001
1,TFO,2026-05-11,2026-09,55.0,E,M,2026-08-26,0,,92.77000000000001
1,TFO,2026-05-11,2026-09,60.0,E,M,2026-08-26,0,3.9,92.77000000000001
1,TFO,2026-05-11,2026-09,65.0,E,M,2026-08-26,0,3.28,92.77000000000001
1,TFO,2026-05-11,2026-09,70.0,E,M,2026-08-26,0,,92.77000000000001
1,TFO,2026-05-11,2026-09,75.0,E,M,2026-08-26,0,,92.77000000000001
1,TFO,2026-05-11,2026-09,80.0,E,M,2026-08-26,0,,92.77000000000001
1,TFO,2026-05-11,2026-09,85.0,E,M,2026-08-26,0,1.83,92.77000000000001
1,TFO,2026-05-11,2026-09,90.0,E,M,2026-08-26,0,1.6,92.77000000000001
1,TFO,2026-05-11,2026-09,100.0,E,M,2026-08-26,0,,92.77000000000001
1,TFO,2026-05-11,2026-10,30.0,E,M,2026-09-25,,0,92.685
1,TFO,2026-05-11,2026-10,37.0,E,M,2026-09-25,,0,92.685
1,TFO,2026-05-11,2026-10,40.0,E,M,2026-09-25,,0,92.685
1,TFO,2026-05-11,2026-10,45.0,E,M,2026-09-25,0,,92.685
1,TFO,2026-05-11,2026-10,55.0,E,M,2026-09-25,0,5.69,92.685
1,TFO,2026-05-11,2026-10,75.0,E,M,2026-09-25,0,,92.685
1,TFO,2026-05-11,2026-10,80.0,E,M,2026-09-25,0,2.7,92.685
1,TFO,2026-05-11,2026-11,55.0,E,M,2026-10-27,0,,91.555
1,TFO,2026-05-11,2026-11,75.0,E,M,2026-10-27,0,,91.555
1,TFO,2026-05-11,2026-11,100.0,E,M,2026-10-27,0,,91.555
1,TFO,2026-05-11,2026-12,30.0,E,M,2026-11-26,,0,91.585
1,TFO,2026-05-11,2026-12,33.0,E,M,2026-11-26,2.15,0,91.585
1,TFO,2026-05-11,2026-12,45.0,E,M,2026-11-26,0,,91.585
1,TFO,2026-05-11,2026-12,50.0,E,M,2026-11-26,0,7.8,91.585
1,TFO,2026-05-11,2026-12,55.0,E,M,2026-11-26,0,,91.585
1,TFO,2026-05-11,2026-12,60.0,E,M,2026-11-26,0,5.7,91.585
1,TFO,2026-05-11,2026-12,75.0,E,M,2026-11-26,0,,91.585
1,TFO,2026-05-11,2026-12,100.0,E,M,2026-11-26,0,,91.585
1,TFO,2026-05-11,2027-01,40.0,E,M,2026-12-24,,0,90.575
1,TFO,2026-05-11,2027-01,50.0,E,M,2026-12-24,0,,90.575
1,TFO,2026-05-11,2027-01,60.0,E,M,2026-12-24,0,,90.575
1,TFO,2026-05-11,2027-01,70.0,E,M,2026-12-24,0,,90.575
1,TFO,2026-05-11,2027-01,75.0,E,M,2026-12-24,0,,90.575
1,TFO,2026-05-11,2027-01,90.0,E,M,2026-12-24,0,,90.575
2,TFO,2026-05-11,2027-02,50.0,E,M,2027-01-27,0,17.875,90.16499999999999
1,TFO,2026-05-11,2027-02,75.0,E,M,2027-01-27,0,,90.16499999999999
1,TFO,2026-05-11,2027-02,80.0,E,M,2027-01-27,0,5.05,90.16499999999999
1,TFO,2026-05-11,2027-03,30.0,E,M,2027-02-24,,0,43.275
1,TFO,2026-05-11,2027-03,45.0,E,M,2027-02-24,0,,43.275
1,TFO,2026-05-11,2027-03,50.0,E,M,2027-02-24,0,,43.275
1,TFO,2026-05-11,2027-03,60.0,E,M,2027-02-24,0,6.9,43.275
1,TFO,2026-05-11,2027-03,75.0,E,M,2027-02-24,0,,43.275
1,TFO,2026-05-11,2027-03,90.0,E,M,2027-02-24,0,,43.275
1,TFO,2026-05-11,2027-03,100.0,E,M,2027-02-24,0,,43.275
1,TFO,2026-05-11,2027-04,45.0,E,M,2027-03-25,0,,37.26
1,TFO,2026-05-12,2026-06,30.0,E,M,2026-05-27,0.07,0,93.2
2,TFO,2026-05-12,2026-06,35.0,E,M,2026-05-27,0.385,0,93.2
1,TFO,2026-05-12,2026-06,37.0,E,M,2026-05-27,0.25,0,93.2
1,TFO,2026-05-12,2026-06,38.5,E,M,2026-05-27,0.35,0,93.2
1,TFO,2026-05-12,2026-06,39.0,E,M,2026-05-27,0.41,0,93.2
2,TFO,2026-05-12,2026-06,40.0,E,M,2026-05-27,1.28,0,93.2
2,TFO,2026-05-12,2026-06,42.0,E,M,2026-05-27,2.2,0,93.2
1,TFO,2026-05-12,2026-06,43.0,E,M,2026-05-27,1.37,0,93.2
1,TFO,2026-05-12,2026-06,44.0,E,M,2026-05-27,1.86,0,93.2
2,TFO,2026-05-12,2026-06,45.0,E,M,2026-05-27,2.24,3.95,93.2
2,TFO,2026-05-12,2026-06,46.0,E,M,2026-05-27,2.87,3.8,93.2
2,TFO,2026-05-12,2026-06,47.0,E,M,2026-05-27,3.415,3.16,93.2
3,TFO,2026-05-12,2026-06,48.0,E,M,2026-05-27,4.035,5.76,93.2
2,TFO,2026-05-12,2026-06,50.0,E,M,2026-05-27,5.2,2.425,93.2
1,TFO,2026-05-12,2026-06,53.0,E,M,2026-05-27,0,1.725,93.2
2,TFO,2026-05-12,2026-06,55.0,E,M,2026-05-27,0,2.575,93.2
1,TFO,2026-05-12,2026-06,58.0,E,M,2026-05-27,0,1.05,93.2
