'check',contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,put_volume,call_volume,close_of_future,euro_short_term_rate,selected_option,implied_volatility,ssvi_implied_volatility
check,TFO,2026-05-15,2026-09,35.0,E,M,2026-08-26,1.1857506361323153,0.0,1965,0,50.72141972942936,1.931,P,0.6864050477219972,0.9652839664469748
check,TFO,2026-05-15,2026-09,50.0,E,M,2026-08-26,8.7,8.52,550,1075,50.72141972942936,1.931,C,0.7582672219149136,1.0378842928928207
check,TFO,2026-05-15,2026-09,58.0,E,M,2026-08-26,0.0,6.275,0,250,50.72141972942936,1.931,C,0.8215680409161653,1.0666703728546658
check,TFO,2026-05-15,2026-09,60.0,E,M,2026-08-26,0.0,4.98,0,150,50.72141972942936,1.931,C,0.7537320605717226,1.0731392810396538
check,TFO,2026-05-15,2026-09,70.0,E,M,2026-08-26,0.0,4.5,0,80,50.72141972942936,1.931,C,0.925025808925102,1.1020829092438655
check,TFO,2026-05-15,2026-10,45.0,E,M,2026-09-25,6.5,0.0,25,0,50.39700031328321,1.931,P,0.8013164014840602,0.8960822041470005
check,TFO,2026-05-15,2026-10,47.0,E,M,2026-09-25,7.7,8.3,25,25,50.39700031328321,1.931,PC,,0.9037152473208546
check,TFO,2026-05-15,2026-10,49.0,E,M,2026-09-25,0.0,8.775,0,25,50.39700031328321,1.931,C,0.6649328458099676,0.9109714170045291
check,TFO,2026-05-15,2026-10,55.0,E,M,2026-09-25,0.0,6.84,0,200,50.39700031328321,1.931,C,0.7008313508202424,0.9307951093602808
check,TFO,2026-05-15,2026-10,60.0,E,M,2026-09-25,0.0,5.84,0,510,50.39700031328321,1.931,C,0.7445551419218234,0.945458271798889
check,TFO,2026-05-15,2026-12,70.0,E,M,2026-11-26,0.0,4.95,0,100,48.77391430254246,1.931,C,0.7518294310208046,0.8974298266908105
check,TFO,2026-05-15,2027-02,50.0,E,M,2027-01-27,0.0,9.9,0,1000,47.23714357746124,1.931,C,0.6847962504749843,0.9454832595885252
check,TFO,2026-05-15,2027-02,55.0,E,M,2027-01-27,0.0,8.65,0,1000,47.23714357746124,1.931,C,0.7080086800682176,0.9559743159524883
check,TFO,2026-05-15,2027-03,15.0,E,M,2027-02-24,0.18,0.0,150,0,45.22110891508436,1.931,P,0.6781926860861713,0.7665108252076047
check,TFO,2026-05-15,2027-03,25.0,E,M,2027-02-24,0.9,0.0,75,0,45.22110891508436,1.931,P,0.568277108819575,0.8268282820992401
check,TFO,2026-05-15,2027-03,28.0,E,M,2027-02-24,0.0,18.05,0,275,45.22110891508436,1.931,C,0.39042224411010723,0.8396398527947219
check,TFO,2026-05-15,2027-04,50.0,E,M,2027-03-25,0.0,4.85,0,200,38.3,1.931,C,0.584481679718821,0.8761252508539549
check,TFO,2026-05-18,2026-06,35.0,E,M,2026-05-27,0.045,0.0,130,0,49.43077170461917,1.931,P,1.0516266575473479,0.6248436773820775
check,TFO,2026-05-18,2026-06,37.0,E,M,2026-05-27,0.155,0.0,900,0,49.43077170461917,1.931,P,1.1206020219399346,0.6833237086709465
check,TFO,2026-05-18,2026-06,40.0,E,M,2026-05-27,0.2890657084188912,0.0,2435,0,49.43077170461917,1.931,P,1.0047266852133567,0.7582865970905914
