check,contract_code,ts_event,contract_delivery_period,close_of_future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,18.01.23,2023-07,65.04118297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,18.01.23,2023-08,64.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,18.01.23,2023-09,64.25130369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,18.01.23,2023-10,67.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,18.01.23,2023-11,70.19029519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,18.01.23,2023-12,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,18.01.23,2024-01,72.48834318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,18.01.23,2024-02,68.27614914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,18.01.23,2024-03,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,18.01.23,2024-09,63.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,19.01.23,2023-02,61.76685155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,19.01.23,2023-03,62.42509213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,19.01.23,2023-04,63.34631401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,19.01.23,2023-05,63.49474174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,19.01.23,2023-06,63.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,19.01.23,2023-07,62.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,19.01.23,2023-08,60.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,19.01.23,2023-09,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,19.01.23,2023-10,66.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,19.01.23,2023-11,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,19.01.23,2023-12,73.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,19.01.23,2024-01,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,19.01.23,2024-02,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,19.01.23,2024-03,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,20.01.23,2023-02,67.58740331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,20.01.23,2023-03,68.21374561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,20.01.23,2023-04,68.86212293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,20.01.23,2023-05,68.98579179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,20.01.23,2023-06,69.22970274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,20.01.23,2023-07,68.62808461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,20.01.23,2023-08,68.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,20.01.23,2023-09,69.80282275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,20.01.23,2023-10,72.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,20.01.23,2023-11,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,20.01.23,2023-12,77.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,20.01.23,2024-01,78.91030541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,20.01.23,2024-02,71.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,20.01.23,2024-03,69.14329214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,20.01.23,2024-12,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,23.01.23,2023-02,61.5631392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,23.01.23,2023-03,62.38471244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,23.01.23,2023-04,63.2267406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,23.01.23,2023-05,63.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,23.01.23,2023-06,63.72767117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,23.01.23,2023-07,64.75542716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,23.01.23,2023-08,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,23.01.23,2023-09,66.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,23.01.23,2023-10,68.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,23.01.23,2023-11,71.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,23.01.23,2023-12,73.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,23.01.23,2024-01,77.01779887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,23.01.23,2024-02,74.05080214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,23.01.23,2024-03,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,24.01.23,2023-02,58.69160098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,24.01.23,2023-03,59.28590638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,24.01.23,2023-04,60.24511521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,24.01.23,2023-05,59.77454286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,24.01.23,2023-06,60.0508412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,24.01.23,2023-07,60.60915004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,24.01.23,2023-08,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,24.01.23,2023-09,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,24.01.23,2023-10,63.70057829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,24.01.23,2023-11,68.13945077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,24.01.23,2023-12,70.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,24.01.23,2024-01,70.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,24.01.23,2024-02,70.8834518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,24.01.23,2024-03,67.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,24.01.23,2024-12,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,24.01.23,2025-06,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,25.01.23,2023-02,57.59990472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,25.01.23,2023-03,58.36275896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,25.01.23,2023-04,59.05677129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,25.01.23,2023-05,59.24417581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,25.01.23,2023-06,59.36297011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,25.01.23,2023-07,57.89963082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,25.01.23,2023-08,58.30031394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,25.01.23,2023-09,59.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,25.01.23,2023-10,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,25.01.23,2023-11,65.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,25.01.23,2023-12,68.00596184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,25.01.23,2024-01,67.66554204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,25.01.23,2024-02,69.54386085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,26.01.23,2023-02,54.37584401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,26.01.23,2023-03,54.62870037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,26.01.23,2023-04,55.49267137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,26.01.23,2023-05,55.52292196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,26.01.23,2023-06,56.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,26.01.23,2023-07,57.00321024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,26.01.23,2023-08,56.98976333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,26.01.23,2023-09,57.96941263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,26.01.23,2023-10,61.30455071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,26.01.23,2023-11,65.09043764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,26.01.23,2023-12,66.6909258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,26.01.23,2024-01,66.99881261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,26.01.23,2024-02,66.99676166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,26.01.23,2024-03,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TFM,26.01.23,2024-04,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,27.01.23,2023-02,55.77781362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,27.01.23,2023-03,55.98208821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,27.01.23,2023-04,56.52916258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,27.01.23,2023-05,56.42974237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
