'check',contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,put_volume,call_volume,close_of_future,euro_short_term_rate,selected_option,implied_volatility,ssvi_implied_volatility,,,ts_event,20.04.26,,,
check,TFO,21.04.26,2026-06,39,E,M,27.05.26,2.905,0,150,0,43.1589745,1.932,P,0.922793799,0.843159675,,,,,,,
check,TFO,21.04.26,2026-06,40,E,M,27.05.26,3.4,5.175,3400,300,43.1589745,1.932,P,0.935355491,0.852757683,,,,,,,
check,TFO,21.04.26,2026-06,42,E,M,27.05.26,4.7,0,200,0,43.1589745,1.932,P,0.998220187,0.870962517,,,,,,,
check,TFO,21.04.26,2026-06,43,E,M,27.05.26,0,4.125,0,125,43.1589745,1.932,C,0.744389139,0.879610542,,,,,,,
check,TFO,21.04.26,2026-06,45,E,M,27.05.26,0,3.7,0,2650,43.1589745,1.932,C,0.822560738,0.89608739,,,,,,,
check,TFO,21.04.26,2026-06,48,E,M,27.05.26,0,1.88,0,100,43.1589745,1.932,C,0.666545714,0.918980059,,,,,,,
check,TFO,21.04.26,2026-06,50,E,M,27.05.26,10.52,2.44,1100,2600,43.1589745,1.932,C,0.883182813,0.933175187,,,,,,,
check,TFO,21.04.26,2026-06,55,E,M,27.05.26,0,2.025,0,550,43.1589745,1.932,C,1.019920096,0.9655179,,,,,,,
check,TFO,21.04.26,2026-06,60,E,M,27.05.26,0,0.94,0,500,43.1589745,1.932,C,0.921468363,0.9941387,,,,,,,
check,TFO,21.04.26,2026-06,65,E,M,27.05.26,0,1.1,0,700,43.1589745,1.932,C,1.113170105,1.019766832,,,,,,,
check,TFO,21.04.26,2026-06,70,E,M,27.05.26,0,0.995,0,50,43.1589745,1.932,C,1.207152357,1.04293967,,,,,,,
check,TFO,21.04.26,2026-07,30,E,M,26.06.26,0.56,0,50,0,43.11138978,1.932,P,0.700416075,0.738731003,,,,,,,
check,TFO,21.04.26,2026-07,33,E,M,26.06.26,1.34,0,5,0,43.11138978,1.932,P,0.756416836,0.766692416,,,,,,,
check,TFO,21.04.26,2026-07,45,E,M,26.06.26,0,3.425,0,450,43.11138978,1.932,C,0.569269293,0.851507837,,,,,,,
check,TFO,21.04.26,2026-07,55,E,M,26.06.26,0,1.85,0,125,43.11138978,1.932,C,0.724047023,0.902226225,,,,,,,
check,TFO,21.04.26,2026-07,70,E,M,26.06.26,0,1.18,0,160,43.11138978,1.932,C,0.934940838,0.959689356,,,,,,,
check,TFO,21.04.26,2026-08,45,E,M,27.07.26,0,4.35,0,450,43.03441669,1.932,C,0.575125246,1.081386916,,,,,,,
check,TFO,21.04.26,2026-08,55,E,M,27.07.26,0,2.6,0,325,43.03441669,1.932,C,0.696810548,1.120891971,,,,,,,
check,TFO,21.04.26,2026-10,30,E,M,25.09.26,0.97,0,1075,0,42.87404846,1.932,P,0.537977885,0.784228187,,,,,,,
check,TFO,21.04.26,2026-10,37,E,M,25.09.26,3.92,0,1250,0,42.87404846,1.932,P,0.635440166,0.819205823,,,,,,,
