ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,Column1,,,AAA,,,
2025-10-01T00:00:00.000000000Z,35,58,107904727,0.39,0.39,0.39,0.39,1500,TFO FMZ0025_OMCE0000041002112625,TFO FMZ,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108215820,,,,,100,TFO FMM0026_OMCE0000035002052726,TFO FMM,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108455384,,,,,100,TFO FMV0026_OMCE0000035002092526,TFO FMV,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,107880259,0.23,0.23,0.23,0.23,1075,TFO FMZ0025_OMCE0000045002112625,TFO FMZ,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108009534,,,,,200,TFO FMH0026_OMCE0000045002022426,TFO FMH,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108215159,,,,,450,TFO FMG0026_OMPE0000030002012726,TFO FMG,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005657,0.615,0.615,0.615,0.615,600,TFO  58  31005657,TFO  58,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005742,0.58,0.58,0.58,0.58,35,TFO  56  31005742,TFO  56,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108025750,1,1,1,1,100,TFO FMF0026_OMCE0000038002122425,TFO FMF,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108720365,0.12,0.12,0.1,0.1,300,TFO FMX0025_OMPE0000027002102725,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005809,0.06,0.06,0.06,0.06,100,TFO  73  31005809,TFO  73,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005543,1.04,1.08,1.04,1.08,400,TFO  55  31005543,TFO  55,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005530,1.75,1.75,1.75,1.75,150,TFO  56  31005530,TFO  56,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,107999298,0.13,0.13,0.13,0.13,830,TFO FMX0025_OMCE0000040002102725,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005463,0.01,0.01,0.01,0.01,200,TFO  74  31005463,TFO  74,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005490,1.5,1.5,1.5,1.5,500,TFO  76  31005490,TFO  76,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108476562,0.915,0.915,0.915,0.915,100,TFO FSJ0026.U0026_OSCE0000045002032,TFO FSJ,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108643811,,,,,100,TFO FMF0026_OMPE0000027002122425,TFO FMF,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,108643811,0.445,0.445,0.425,0.425,815,TFO FMF0026_OMPE0000027002122425,TFO FMF,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108645523,0.775,0.775,0.775,0.775,100,TFO FQF0026.H0026_OQPE0000027002122,TFO FQF,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108585406,0.475,0.54,0.45,0.54,2200,TFO FMX0025_OMCE0000033002102725,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,30991910,0.295,0.295,0.295,0.295,50,TFO  75  30991910,TFO  75,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108054070,,,,,700,TFO FMF0026_OMCE0000035002122425,TFO FMF,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005389,0.435,0.435,0.435,0.435,500,TFO  50  31005389,TFO  50,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005386,2.44,2.44,2.44,2.44,100,TFO  55  31005386,TFO  55,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108682773,1.16,1.16,1.16,1.16,1000,TFO FSJ0026.U0026_OSPE0000024002032,TFO FSJ,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108215805,,,,,2000,TFO FMM0026_OMPE0000027002052726,TFO FMM,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005362,0.69,0.69,0.69,0.69,25,TFO  72  31005362,TFO  72,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108215155,0.88,0.95,0.88,0.95,700,TFO FMZ0025_OMPE0000030002112625,TFO FMZ,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005388,-0.03,-0.03,-0.03,-0.03,700,TFO  17  31005388,TFO  17,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005487,0.095,0.095,0.095,0.095,100,TFO   7  31005487,TFO   7,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108564115,,,,,540,TFO FMU0026_OMPE0000025002082626,TFO FMU,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,108533645,1.33,1.33,1.33,1.33,2000,TFO FMF0026_OMPE0000031002122425,TFO FMF,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108218362,,,,,340,TFO FMM0026_OMPE0000025002052726,TFO FMM,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005433,0.61,0.61,0.61,0.61,600,TFO  56  31005433,TFO  56,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108281433,,,,,1000,TFO FMJ0026_OMPE0000024002032726,TFO FMJ,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005406,0.33,0.33,0.33,0.33,100,TFO  55  31005406,TFO  55,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108009544,,,,,950,TFO FMH0026_OMCE0000050002022426,TFO FMH,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108599679,1.75,1.75,1.75,1.75,150,TFO FMX0025_OMPE0000032002102725,TFO FMX,,,,,,
