ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-03-20T00:00:00.000000000Z,35,58,106730366,5.650000000,5.650000000,5.650000000,5.650000000,15,TFO FSV0023.H0024_OSCE0000095002092
2023-03-20T00:00:00.000000000Z,35,58,105086087,2.550000000,2.550000000,2.550000000,2.550000000,150,TFO FSJ0023.U0023_OSCE0000060002032
2023-03-20T00:00:00.000000000Z,35,58,106633550,,,,,15,TFO FMV0023_OMCE0000095002092623
2023-03-20T00:00:00.000000000Z,35,58,105663111,,,,,150,TFO FMU0023_OMCE0000090002082523
2023-03-20T00:00:00.000000000Z,35,85,30571333,4.400000000,4.400000000,4.400000000,4.400000000,500,TFO  55  30571333
2023-03-20T00:00:00.000000000Z,35,58,105049435,,,,,450,TFO FMQ0023_OMCE0000050002072723
2023-03-20T00:00:00.000000000Z,35,58,105505473,,,,,125,TFO FMN0023_OMCE0000070002062623
2023-03-20T00:00:00.000000000Z,35,85,30571841,7.000000000,7.000000000,7.000000000,7.000000000,100,TFO  55  30571841
2023-03-20T00:00:00.000000000Z,35,85,106983545,5.800000000,5.800000000,5.800000000,5.800000000,14,TFO FMF0025_OMCE0000100002122724
2023-03-20T00:00:00.000000000Z,35,58,104585446,5.600000000,5.600000000,5.600000000,5.600000000,2200,TFO FQF0024.H0024_OQPE0000035002122
2023-03-20T00:00:00.000000000Z,35,58,105293007,,,,,150,TFO FMU0023_OMCE0000075002082523
2023-03-20T00:00:00.000000000Z,35,58,106678294,,,,,100,TFO FMZ0023_OMCE0000100002112423
2023-03-20T00:00:00.000000000Z,35,85,106678294,5.000000000,5.000000000,5.000000000,5.000000000,14,TFO FMZ0023_OMCE0000100002112423
2023-03-20T00:00:00.000000000Z,35,58,106983397,,,,,15,TFO FMZ0023_OMCE0000175002112423
2023-03-20T00:00:00.000000000Z,35,58,104502074,4.300000000,4.300000000,4.300000000,4.300000000,60,TFO FQN0023.U0023_OQPE0000035002062
2023-03-20T00:00:00.000000000Z,35,58,104904308,4.250000000,4.250000000,4.250000000,4.250000000,100,TFO FMK0023_OMPE0000040002042623
2023-03-20T00:00:00.000000000Z,35,58,106779520,4.550000000,4.550000000,3.750000000,3.750000000,25,TFO FSV0023.H0024_OSCE0000125002092
2023-03-20T00:00:00.000000000Z,35,85,30571702,1.650000000,1.650000000,1.650000000,1.650000000,300,TFO  51  30571702
2023-03-20T00:00:00.000000000Z,35,58,105454989,2.050000000,2.050000000,2.050000000,2.050000000,50,TFO FQN0023.U0023_OQCE0000080002062
2023-03-20T00:00:00.000000000Z,35,58,105293008,,,,,260,TFO FMU0023_OMPE0000075002082523
2023-03-20T00:00:00.000000000Z,35,58,104367940,,,,,2200,TFO FMH0024_OMPE0000030002022324
2023-03-20T00:00:00.000000000Z,35,58,106678300,,,,,100,TFO FMV0023_OMCE0000100002092623
2023-03-20T00:00:00.000000000Z,35,58,105425085,,,,,100,TFO FMG0024_OMCE0000065002012624
2023-03-20T00:00:00.000000000Z,35,58,105081619,,,,,150,TFO FMK0023_OMCE0000060002042623
2023-03-20T00:00:00.000000000Z,35,85,30571787,2.150000000,2.150000000,2.150000000,2.150000000,300,TFO  56  30571787
2023-03-20T00:00:00.000000000Z,35,58,105299124,36.000000000,36.000000000,36.000000000,36.000000000,60,TFO FQN0023.U0023_OQPE0000075002062
2023-03-20T00:00:00.000000000Z,35,58,105434829,,,,,150,TFO FMJ0023_OMCE0000100002032723
2023-03-20T00:00:00.000000000Z,35,58,103396846,0.800000000,0.800000000,0.800000000,0.800000000,400,TFO FMN0023_OMPE0000025002062623
2023-03-20T00:00:00.000000000Z,35,58,105081669,1.750000000,1.750000000,1.750000000,1.750000000,500,TFO FMM0023_OMCE0000065002052623
2023-03-20T00:00:00.000000000Z,35,58,104932440,,,,,520,TFO FMN0023_OMPE0000055002062623
2023-03-20T00:00:00.000000000Z,35,85,30571531,2.000000000,2.000000000,2.000000000,2.000000000,1700,TFO  51  30571531
2023-03-20T00:00:00.000000000Z,35,58,105449713,,,,,50,TFO FMN0023_OMCE0000080002062623
2023-03-20T00:00:00.000000000Z,35,85,30571528,2.000000000,2.000000000,2.000000000,2.000000000,500,TFO  51  30571528
2023-03-20T00:00:00.000000000Z,35,58,104961245,7.980000000,7.980000000,7.980000000,7.980000000,14,TFO FMV0023_OMCE0000045002092623
2023-03-20T00:00:00.000000000Z,35,58,104957173,0.950000000,0.950000000,0.800000000,0.800000000,1150,TFO FMJ0023_OMCE0000045002032723
2023-03-20T00:00:00.000000000Z,35,58,106985197,,,,,15,TFO FMV0023_OMCE0000175002092623
2023-03-20T00:00:00.000000000Z,35,58,106730370,,,,,15,TFO FMF0024_OMCE0000095002122723
2023-03-20T00:00:00.000000000Z,35,58,104585440,,,,,2215,TFO FMF0024_OMPE0000035002122723
2023-03-20T00:00:00.000000000Z,35,85,105049447,0.400000000,0.400000000,0.400000000,0.400000000,150,TFO FMJ0023_OMCE0000050002032723
2023-03-20T00:00:00.000000000Z,35,58,104903476,2.450000000,2.950000000,2.250000000,2.250000000,2075,TFO FMJ0023_OMPE0000040002032723
2023-03-20T00:00:00.000000000Z,35,58,105081689,,,,,100,TFO FMX0023_OMCE0000065002102723
2023-03-20T00:00:00.000000000Z,35,58,105081579,,,,,150,TFO FMJ0023_OMCE0000060002032723
2023-03-20T00:00:00.000000000Z,35,85,30571810,5.450000000,5.450000000,5.450000000,5.450000000,250,TFO  77  30571810
2023-03-20T00:00:00.000000000Z,35,58,104493806,,,,,15,TFO FMX0023_OMPE0000035002102723
2023-03-20T00:00:00.000000000Z,35,58,104957174,5.750000000,5.750000000,5.750000000,5.750000000,100,TFO FMJ0023_OMPE0000045002032723
